tag,
0,"এদেশের সর্বোচ্চ আদালতের একজন অবসরপ্রাপ্ত বিচারপতি অনবরত আমার প্রয়াত পিতা সম্পর্কে মিথ্যাচার করে চলেছেন। তার বক্তব্য আমার বাবা নাকি বিহারি ছিলেন! আমার বাবা প্রয়াত জনাব নূরুল ইসলামের জন্ম এক সাধারণ কৃষক পরিবারে, কুমিল্লার... http://www. newsbybd.net/newsdetail/det ail/200/437802 …"
1,": ও মানিক কি বাত্তি লাগাইলি? : কেন চেতনা বাত্তি, রাজাকার আর বিহারি সহজেই চেনা যাইবো :P"
1,অধ্যাপক আসিফ নজরুলের বাবা ‘ বিহারি এবং একজন খাস রাজাকার’ ছিলেন বলে দাবি করেছেন সুপ্রিম কোর্টের অবসরপ্রাপ্ত বিচারপতি এ এইচ এম শামসুদ্দিন চৌধুরী মানিক... https:// lnkd.in/fCDxcAu
0,"মমতার অভিযোগ, শুধু মুসলমানদেরই নয়, হিন্দুদেরও দেখছে না বিজেপি। এনআরসি তালিকা থেকে ২২ লক্ষ হিন্দুর নাম বাদ দেওয়া হয়েছে। প্রায় ২০ লক্ষ মুসলমান বাদ গিয়েছেন। এছাড়া, বিহারি , নেপালিরাও রয়েছেন। এনআরসি দিয়ে দেশের নাগরিকদেরই বিদেশি বানানোর চেষ্টা হচ্ছে। pic.twitter.com/zeL9Hk9qnB"
0,জয়গাঁ বিহারি সমাজের লোকেরা নির্বাচনে তৃণমূল কংগ্রেসের সমর্থন করে ভোট দে... https:// youtu.be/Z4b3zH8IEJU via @YouTube
0,"মাড়োয়াড়ি হও বা গুজরাটি অথবা বিহারি , বাঙালী জাত তুলে গাল দিলে ক্যালাবোই, বেশ করবো ক্যালাবো।।"
0,বিহারি বিফ কাবাবের রেসিপি | মজার রান্না ডট কম https:// mojarranna.com/archives/17006 /%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%AB-%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%AC-6/ …
0,"at বিহারি ক্যাম্প, মোহাম্মদপুর https://www. facebook.com/10000247761218 1/posts/2158191727606727/ …"
0,"আমার বাড়ির পাশে লাগোয়া পড়াতে ৬৫% এর মানুষ বিহারি -হিন্দুস্থানী ও অন্যান্য প্রদেশের আর বাকিরা হল বাঙালি। তো গতকাল বাঙালীরা "" খোল দ্বার খোল"" সারাদিন চালিয়ে কানের খোল বের করেছেন আর আজ অন্য প্রদেশের মানুষরা ""রঙ্ বরষে"" চালিয়ে মাথার দফারফা করছে।"
0,কল্যান চৌবে অথবা ভোজপুরী/ বিহারি নায়ক পবন সিংহ
0,"নির্দল হয়ে দাঁড়াতে পারেন বিহারি বাবু, তাঁর বিরুদ্ধে রবিশঙ্কর প্রসাদ, জল্পনা প্রবল https:// wp.me/payJHk-185 via @WBMirrorOnline"
