tag,tweets
0,Munna vai MBBS মুভির গান (Chan Chan) অনেক দিন পর সুনতেসি ভাগ্যিস Department এ চিংকি নামে কোন মেয়ে ছিলো না। ... http:// fb.me/8ODOyiRkC
1,"সোজাসাপটা : তোমাদের ভাষায় কথা বলি, জনগণমন গাই, দেশপ্রেমও খাঁটি, তবু আমাদের ‘ চিংকি ’ বলো কেন?: http:// blogs.eisamay.indiatimes.com/rajeshkalra/we -speak-your-language-we-sing-the-national-anthem-we-are-patriotic-why-do-you-call-us-chinkis1/ …"
1,"তোমাদের ভাষায় কথা বলি, জনগণমন গাই,দেশপ্রেমও খাঁটি,তবু আমাদের ' চিংকি ' বলো কেন? @rajeshkalra http:// blogs.eisamay.indiatimes.com/rajeshkalra/en try/we-speak-your-language-we-sing-the-national-anthem-we-are-patriotic-why-do-you-call-us-chinkis1 … via @http://twitter.com/"
1,আমাদের ' চিংকি ' বলো কেন? #Blog #RajeshKalra #ArunachalPradesh #EiSamay http:// blogs.eisamay.indiatimes.com/rajeshkalra/en try/we_speak_your_language_we_sing_the_national_anthem_we_are_patriotic_why_do_you_call_us_chinkis1 … pic.twitter.com/KgxU8O5UzT
1,"তোমাদের ভাষায় কথা বলি, জনগণমন গাই, দেশপ্রেমও খাঁটি, তবু আমাদের ' চিংকি ' বলো কেন? http:// fb.me/47sjGlAGz"
1,চিংকি রাজ্যের কোন এক জায়গায় একজন ভাবসাব ওয়ালা ব্যাক্তিত্ব। http:// fb.me/7G405lLZ6
1,চিংকি রাজ্যের পথেঘাটে একটি ক্যাপশনহীন হুদাইগ্রাফি । http:// fb.me/4sVIwzlte
1,"তোমাকে ছাড়া ""লাইফ"" একদম ""নন - পসিবল"" ..... — feeling উলে উলে লাগ কলেনা চিংকি সোনা"
1,উঃপূবৰ লোকক ' চিংকি ' বুলি জোকালেই ৫ বছৰ জে'ল আইন সংশোধন কৰি কেন্দ্ৰৰ কঠোৰ ব্যৱস্থা ।
1,http://www. anandabazar.com/supplementary/ rabibashoriyo/%E0%A6%9A-%E0%A6%95-1.20382 … :( অনেক সময় চিংকি বলার পর... http:// fb.me/6PgTiBSAq
1,চিংকি বোস তুমি পাচ্ছ কি শুনতে? http://bit.ly/9jP0gp
