tags,text,geo,mentions,hashtags,id,permalink,
1,"এমন একটা দিন আসতে দেরি নেই যেদিন বাচ্চা জন্মানোর সময় সদ্য আগত বাচ্চাকে হুংকার ছেড়ে বলতে বলা হবে 'জয় হিন্দ!', আর বাচ্চা যদি তা না বলে তাহলে হয় তাকে যেখান থেকে এসেছে সেখানে বা পাকিস্তানে দেশদ্রোহী বলে পাঠিয়ে... https://www. facebook.com/10000758092463 0/posts/2238919626370713/ …",,,,1.10297314325632E+018,https://twitter.com/JaydebMandal3/status/1102973143256322049,
0,কিভাবে একজন ব‍্যক্তি দেশদ্রোহী হিসাবে চিহ্নিত হবেন...,,,,1.10295896765811E+018,https://twitter.com/rohitkrmajumder/status/1102958967658110977,
1,চাণক্য বলেছিলেন- যুদ্ধের সময় যারা শত্রুর প্রশংসা করে তারা দেশদ্রোহী ।,,,,1.10293490705831E+018,https://twitter.com/MPS72229433/status/1102934907058311169,
1,ভক্তরা যতই বলুক আমাদের দেশদ্রোহী তবুও আমরা আমাদের প্রশ্নের উত্তর চাই @MamataOfficial @abhishekaitc @derekobrienmp @TMC_Supporters @AITCofficial @sobujesobuj @M4TMC @hellorabiul @Santanu83034089 @ritam_pramanik @anup071254 @Jayantasengoptu @GopalChDas1978 @BalaramGiri16 @KOLLEO pic.twitter.com/OqGVA5gYjC,,@MamataOfficial @abhishekaitc @derekobrienmp @TMC_Supporters @AITCofficial @sobujesobuj @M4TMC @hellorabiul @Santanu83034089 @ritam_pramanik @anup071254 @Jayantasengoptu @GopalChDas1978 @BalaramGiri16 @KOLLEO,,1.10289769495418E+018,https://twitter.com/JYOTIPRAKASLOVE/status/1102897694954176512,
1,"তুই সুয়ার বাচ্ছা, নিজের বাবার ছেলে আছেন বোকা পাকিস্তান কত টাকা দালাল হয় বোকামি করছো।তুমি বিরাট দেশদ্রোহী , দিগভিজায় সিংহ হচ্ছেই ভারত সব টিকে বড় গাদ্দার?পাকিস্তান মহান দালাল ভারত একটা জাতীয় পার্টি বিরাট দালাল দিগভিজায় সিংহ নেই দালাল ভারত ছাড় তুমি বোকা বা",,,,1.10288929400639E+018,https://twitter.com/lamechwal/status/1102889294006386688,
1,আসল দেশদ্রোহী জঙ্গি হলো আমাদের মিডিয়া! pic.twitter.com/Dl14Qu8Ji3,,,,1.10284832207359E+018,https://twitter.com/AkramAl76053899/status/1102848322073591808,
0,যায় যদি যাক প্রাণ হীরকের রাজা ভগবান সত্যজিৎ রায় ও দেশদ্রোহী ছিলেন না হলে এমন ছবি বানান??,,,,1.10283603703278E+018,https://twitter.com/GetIITJEE/status/1102836037032779776,
1,যে সকল ব্যাক্তি সেনার পরাক্রম নিয়ে প্রশ্ন করে. তারা দেশদ্রোহী .,,,,1.10282780334967E+018,https://twitter.com/Subrata60995580/status/1102827803349667842,
1,"সত্যি চৌকিদার মশাই, আপনার কাছে সেনাবাহিনীর থেকে তাদের নিয়ে রাজনীতি করাটাই বেশি প্রয়োজনীয় হয়ে উঠলো। ছিঃ ছিঃ ধিক্কার। দেশদ্রোহী আর কেউ নয় দেশদ্রোহী আপনারাই। pic.twitter.com/OfGKnV5RzP",,,,1.10278953056891E+018,https://twitter.com/sobujesobuj/status/1102789530568908801,
1,"সত্যি চৌকিদার মশাই, আপনার কাছে সেনাবাহিনীর থেকে তাদের নিয়ে রাজনীতি করাটাই বেশি প্রয়োজনীয় হয়ে উঠলো। ছিঃ ছিঃ ধিক্কার। দেশদ্রোহী আর কেউ নয় দেশদ্রোহী আপনারাই। @MamataOfficial @abhishekaitc @BJP4Bengal @DilipGhoshBJP @TMC_Supporters @sobujesobuj @M4TMC @hellorabiul @KOLLEO pic.twitter.com/IMDQ15qX92",,@MamataOfficial @abhishekaitc @BJP4Bengal @DilipGhoshBJP @TMC_Supporters @sobujesobuj @M4TMC @hellorabiul @KOLLEO,,1.10278326757969E+018,https://twitter.com/JYOTIPRAKASLOVE/status/1102783267579686912,
