tag,tweets
1,হারামি কুথাকার জ্বলে কেন হুম
0,এগুলো ২২০% সম্পূর্ণ অসত্য বানোয়াট ডাহা মিথ্যা ও গাঁজাখোরী কান্ড কারখানা- কোন হারামি বলেছে বাংলাদেশে ঢুকছে তারে ধরে আমার কাছে নিয়ে আসেন সেলিম ভাই--- আপনি একজন জ্ঞানী মানুষ হয়েও এমন বানোয়াট অসত্য বিশ্বাস করার তো কথা নয়-- ২০১৪ সালে ভারতে বাঘে খাওয়া ছবিকেও চালিয়ে দিয়েছে https:// twitter.com/salimreza6201/ status/1117106551276412928 …
1,আপনি ঠিকই চিনেছেন। আমি নিজেও জানি আমি হারামি ! কিন্তু আমি এটাও জানি “রতনেই রতন চেনে”
1,কিন্তু দুঃখ লাগে তখনই যখন দেখি সস্তায় কিছু হারামি টাইপের লোক মিডিয়ায় বসে চাপা মারে।
1,সব কটা হারামি
1,নাম জেটা আছে সেটাই থাক। ওই থানার পুলিশ হারামি গুলারে পাশি দেওয়া হোক।
1,"এক হারামি ,এক বেইমান,এক দালাল"
1,বেরিয়ে আসলো থলের সাপ! এই হারামি তুই শেষ! চোরের দশ দিন গৃহস্থের একদিন! এ দুনিয়ায় তোর যাই হোক না কেন আসল শাস্তি পাবি তুই জাহান্নামে! https:// bn.bdtime.com.bd/archives/13564
1,হারামি সিরাজকে মৃত্যুদণ্ড দেবেন না ! : ধর্ষকদের শাস্তি এমন হওয়া দরকার#seraj#nusrat#https://www. amaderbrahmanbaria.org/bd/2019/04/13/ 420420.htm …
1,হারামি সিরাজকে মৃত্যুদণ্ড দেবেন না ! https:// technology-lifestyle.com/bangla/2019/04 /13/%e0%a6%a8%e0%a7%81%e0%a6%b8%e0%a6%b0%e0%a6%be%e0%a6%a4%e0%a7%87%e0%a6%b0-%e0%a6%a7%e0%a6%b0%e0%a7%8d%e0%a6%b7%e0%a6%95-%e0%a6%93-%e0%a6%b9%e0%a6%a4%e0%a7%8d%e0%a6%af%e0%a6%be%e0%a6%95%e0%a6%be/ …
1,ওরে হারামি চুপ কর
1,"খুশি হয়ে লাভ নাই। এই অভিযান ব্যর্থ হইছে এই জিদের চোটে চাঁদ কেন, মঙ্গলগ্রহেও চলে যেতে পারে। ইহুদিরা হারামি হতে পারে কিন্তু জ্ঞানের পরিধি আর প্রযুক্তিগত দিক দিয়ে ওরা আসলেই অনেক এগিয়ে"
,হারামি বলে ভিডিও কে করছে তা সে জানেনা-- অপর খেই নাকি ভিডিও করছে-- তাকে বদলী করা হয়েছে
1,মাস্টার মাইন্ড চোদাও? চুপি চুপি হারামি গিরী বহু করেছো। আর না
1,নুসরাত হত্যাকাণ্ডের এজাহারভুক্ত অন্যতম আসামী কাউন্সিলর মকসুদকে চট্টগ্রাম থেকে এইমাত্র আটক করেছে পুলিশ ॥ হারামি জানোয়ার গুলোকে ভোররাতে ক্রসফায়ারে নেওয়া হোক--
1,নিজে সিংগেল আছো নি আবার আরেকজনকে চেক করে হারামি মেয়ে
1,"তুমি আছ বলে মন ফুরফুরে, সঙ্গে চিপস কুরকুরে। তুমি হাসো বলে বৃষ্টি রিমঝিম, কখনো পেপসি, কখনো আইসক্রিম। তুমি বন্ধু বলে এত পাগলামি, বন্ধু তুমি বড়ই হারামি ।"
1,@EsnArafat এই হারামি আসল হোতা---
1,কুকুরের মুখ থেকে হাড্ডি নেওয়া -আর হারামি তৃণমূলের কাছ থেকে সম্মান পাওয়া দুইটাই সমান । pic.twitter.com/eeUQw407Cr
1,এদের নিয়ে কথা বলাও বোকামি৷ দেশে আরো নিচু মানের হারামি আছে। সব গুলো অসুস্থ
1,"আপনি-আমি সুশিক্ষিত মানুষ। এই ধরণের জিনিস কোনটা ভাল-খারাপ সেটা আপনি-আমি বুঝি। কিছু বলার থাকলে সেই অসভ্যগুলোকে রিপ্লাই তে বলেন। না হলে চুপ থাকেন। টুইট, রিটুইট, লাইক মেরে হারামি গুলোর নিকৃষ্ট মানসিকতার কথা বার বার মনে করিয়ে দিয়ে অন্যদের শান্তি নষ্ট করেন না।"
0,ধন্য হলাম এমন একটা বন্ধু দলপ্রধান পেয়ে। তোর ইতিবাচক মনোভাবগুলি বেশ ভালো লাগে রে। তবে অমিলটা হলো তোর মতন আর যত্নশীল দায়িত্ববান হতে না পারা টা। মাঝে মাঝে তোদের মিস করি। ভালবাসা অবিরাম আমাদের হারামি টাইপ চুতিয়া দলনেতা। https://www. facebook.com/121titu/videos /561854577669350/ …
1,"মনে হয় না--- এখন পর্যন্ত টিভিতে ও পত্রিকায় প্রকাশিত খবরে যা দেখলাম জানলাম - অহেতুক কোন ফাঁসানো হচ্ছে বলে মনে হয় না---- আজ টিভিতে শুনতে পেলাম- এই হারামি আগে জামায়াত করতো, এসব বেহায়াপনা ও নোংরামির কারনে তাকে জামায়াত থেকে বহিস্কার করেছে-- এরপর সে আওয়ামী লীগে যোগদান করে--"
