tag,text,geo,mentions,hashtags,id,permalink,,,
1,"এইসব জিহাদি উপন্যাস পইড়া পোলাপান না জিহাদ শিখে, না সাহিত্য। মাথায় ঘুরপাক খায় শুধু বোরকা পড়া লাজুক মেয়েটার প্রতি ইসলামিক প্রেম। [collected]",,,,1.10798470992415E+018,https://twitter.com/bdhypocrisy/status/1107984709924151298,,,
0,"কার বক্তব্য শুনবেন! মিডিয়া আর ইউটিউবারদের ফাঁদে বক্তারা : জিহাদী সাহেবের বিষয়ে অনেক আলোচনা আছে, আছে প্রচুর সমালোচনাও। সেই বিষয়টি বলা আমার উদ্দেশ্য নয়। শিরোনাম পড়েই আমার উদ্দেশ্য বুঝে গেছেন আশা করি। জিহাদি সাহেবের... https://www. facebook.com/anmmbillah/vid eos/1111756079011188/ …",,,,1.10760103071446E+018,https://twitter.com/anmmarufbillah/status/1107601030714458112,,,
1,"বীরভূমের সিউড়ির সুরিতে জিহাদি হামলা, হিন্দু বাড়িতে ভাঙচুর এবং আগুন দিলো জিহাদি মুসলিমরা https:// debtanu1971.wordpress.com/2019/03/18/%e0 %a6%ac%e0%a7%80%e0%a6%b0%e0%a6%ad%e0%a7%82%e0%a6%ae%e0%a7%87%e0%a6%b0-%e0%a6%b8%e0%a6%bf%e0%a6%89%e0%a7%9c%e0%a6%bf%e0%a6%b0-%e0%a6%b8%e0%a7%81%e0%a6%b0%e0%a6%bf%e0%a6%a4%e0%a7%87-%e0%a6%9c/ … via @HSbangla",,@HSbangla,,1.10759990102884E+018,https://twitter.com/KALUMISTRY3/status/1107599901028843526,,,
1,কোন হঠকারী সিদ্ধান্ত এদেশের কওমী জনতা মেনে নিবে না জিহাদি বই রাখার অপরাধে ৫ জন ছাত্রকে জঙ্গি বলে যাত্রাবাড়ী বাইতুন নূর মাদরাসার মুহতামিম মুফতি মুনিরুজ্জামান সাহেব তার মাদরাসা থেকে বহিষ্কার করে দেয়। সেই ক্ষোভে... https://www. facebook.com/10000290122840 6/posts/1829049470535076/ …,,,,1.10755194282014E+018,https://twitter.com/amanullahkarim/status/1107551942820139008,,,
1,"বীরভূমের সিউড়ির সুরিতে জিহাদি হামলা, হিন্দু বাড়িতে ভাঙচুর এবং আগুন দিলো জিহাদি মুসলিমরা https:// debtanu1971.wordpress.com/2019/03/18/%e0 %a6%ac%e0%a7%80%e0%a6%b0%e0%a6%ad%e0%a7%82%e0%a6%ae%e0%a7%87%e0%a6%b0-%e0%a6%b8%e0%a6%bf%e0%a6%89%e0%a7%9c%e0%a6%bf%e0%a6%b0-%e0%a6%b8%e0%a7%81%e0%a6%b0%e0%a6%bf%e0%a6%a4%e0%a7%87-%e0%a6%9c/ … via @HSbangla",,@HSbangla,,1.10755139757325E+018,https://twitter.com/pkkundu10/status/1107551397573246976,,,
1,"বীরভূমের সিউড়ির সুরিতে জিহাদি হামলা, হিন্দু বাড়িতে ভাঙচুর এবং আগুন দিলো জিহাদি মুসলিমরা https:// debtanu1971.wordpress.com/2019/03/18/%e0 %a6%ac%e0%a7%80%e0%a6%b0%e0%a6%ad%e0%a7%82%e0%a6%ae%e0%a7%87%e0%a6%b0-%e0%a6%b8%e0%a6%bf%e0%a6%89%e0%a7%9c%e0%a6%bf%e0%a6%b0-%e0%a6%b8%e0%a7%81%e0%a6%b0%e0%a6%bf%e0%a6%a4%e0%a7%87-%e0%a6%9c/ … via @HSbangla",,@HSbangla,,1.10754775932898E+018,https://twitter.com/ChowkidarNaba/status/1107547759328976898,,,
1,"বীরভূমের সিউড়ির সুরিতে জিহাদি হামলা, হিন্দু বাড়িতে ভাঙচুর এবং আগুন দিলো মুসলিমরা https:// debtanu1971.wordpress.com/2019/03/18/%e0 %a6%ac%e0%a7%80%e0%a6%b0%e0%a6%ad%e0%a7%82%e0%a6%ae%e0%a7%87%e0%a6%b0-%e0%a6%b8%e0%a6%bf%e0%a6%89%e0%a7%9c%e0%a6%bf%e0%a6%b0-%e0%a6%b8%e0%a7%81%e0%a6%b0%e0%a6%bf%e0%a6%a4%e0%a7%87-%e0%a6%9c/ … pic.twitter.com/FtWIHdiZp4",,,,1.10751931234304E+018,https://twitter.com/HSbangla/status/1107519312343035904,,,
1,"""তা হলে'ও দুঃখের বিষয়, ভাই.. যে একটা জিহাদি আমাদের candidate-list'এ included. যা'চ্ছে-তাই অবস্থা, state'এর""- ekmot dada .",,,,1.10716032952229E+018,https://twitter.com/From_Himalaya/status/1107160329522286594,,,
0,শহীদ কিভাবে হলো তারা? তারা কি জিহাদি ছিলো?,,,,1.10711581237087E+018,https://twitter.com/Seneha_/status/1107115812370866176,,,
1,সুইডেনে জিহাদি হামলায় নিহত শিশুটির হয়ে প্রতিশোধ নিতে ক্রাইস্টচার্চে মসজিদে হামলা https:// somoyekhon.com/news/43171?fbc lid=IwAR1b4A2Xs7LzP3Q-ndn6r1cPrRQleKf2mTrIknrW0sQwPobUAGDjvW6sL18 …,,,,1.10680536016426E+018,https://twitter.com/prsnjtbarman/status/1106805360164257792,,,
