tag,tweet
0,ধ্যাত-০২ মনে করেন আপনি সকাল বেলা ফজরের পরে একটু হাটতে বের হইছেন। প্রায় ১কিলোমিটার যাওয়ার পরে দেখলেন কয়েকটা কুত্তা রাস্তায় সমাবেশ করতেছে। আপনি ভাবলেন এদের পাশকেটে চলে যাবেন। ধ্যাত- ২টা কুত্তার দৌড়ানিতে ১... https://www. facebook.com/azizur.or.rahm an/posts/2860596664164801 …
0,"শকুন,পেচা, কুত্তা ,বিলাই বাঘ,সিংহের যদি মঙ্গল ভয়ে আনার কোন ক্ষমতা থাকতো তাহলে এ দেশটা এতদিনে মঙ্গলগ্রহ হয়ে যেত।"
0,"বেশির ভাগ পুরুষই মেয়েদের সন্মান দেয়,কিছু কুত্তা ছাড়া। https:// twitter.com/LimaAkt0511007 3/status/1071432308123549697 …"
0,"বেশির ভাগ পুরুষই মেয়েদের সন্মান দেয়,কিছু কুত্তা ছাড়া।"
1,"কুত্তা -বিলাইয়ের মুখোশ লাগিয়ে মঙল কামনা করে, বাইঞ্চোদ আবার নিজেকে প্রগতিশীল দাবি করে!"
1,বাংলার আইনকে কুত্তা দিয়া হোগামারা দেয়ার দরকার ছিল চু*****র আইন বাংলার আইন হোগার আইন https://www. facebook.com/10001091683577 7/posts/799131830460704/ …
0,কুত্তা https:// twitter.com/TAESUNlVERSE/s tatus/1117058171690942464 …
1,মানুষ পুড়িয়ে মারে এবং নির্জাতন করে আওমীলিগ কুত্তা লীগ বিএনপি না ok https:// twitter.com/somoytv/status /1116717856174084098 …
0,বিএনপি মানুষ পরিয়ে মারে না কুত্তা লীগ মানুষ পরিরে মারে এবং নির্জাতন করে
1,"যারা গরুর মুত পান করে, তাদের কাছেই কুত্তা , বিলাই, হুতুম প্যাঁচা মঙ্গলের প্রতীক। মুসলমানের কাছে বিসমিল্লাহ তথা আল্লাহর নাম ই মঙ্গল তথা রহমতের প্রতীক। সিদ্ধান্ত আপনার কোন দিকে যাবেন।"
0,স্বীকৃতি হায় স্বীকৃতি! সনদ ফেলে এবার ঠেকাও কওমি ধারার বিকৃতি! 'ভিক্ষা থুইয়া কুত্তা সামাল' এখন সবার সেই ভীতি! স্বীকৃতি হায় স্বীকৃতি!! →জাগ্রত কবি আল্লামা Muhib Khan pic.twitter.com/ICcRok50qE
1,"এই জারজের বাচ্চারেও বিচারের আওতায় আনা দরকার ,তার পর ওরে ৩ রাস্তার মোড়ে খাড়া করায়া বিচি দুইটা কাইট্টা কুত্তা দিয়া খাওয়ানো দরকার তার পর আদালতের বিচার"
1,আমাদের অনুপ্রেরণার জন্য দিদির পা চাটা কুত্তা হতে হয়না । Ashim Giri | Bho... https:// youtu.be/2ngUosyz7lc via @YouTube
1,"একজন ধর্ষকের বিচারের দাবীতে সে এখন ভাইরাল, বিচার কি হলো। দ্রুত বিচার হওয়া উচিৎ ছিলো। ট্রাই ইট প্রোফাইল পিকচার, এর কুত্তাটির পিক, তার মানে সে ভাইরাল। আগামীতে এরকম অনেক কুত্তা উৎসাহ পাবে শুধু মাত্র বোকা... https://www. facebook.com/jamalhossain.z amil.3/posts/2168609069889844 …"
