tags,tweets
1,Come and see LΟζΔL βυႽ 's LIVE in #BIGOLIVE : লীলাবতী মাগী ... http://www. bigo.tv/sid/2160175125 _202872212_1555198514?c=3&p=2&t=2&b=273511029 … pic.twitter.com/s124riJowM
1,ঘুষখোর মাগী https:// twitter.com/SPRlNGTTAE/sta tus/1116993619741691905 …
1,Come and see LΟζΔL 's LIVE in #BIGOLIVE : লীলাবতী মাগী ... http://www. bigo.tv/sid/2160175125 _312333959_1555093366?c=3&p=2&t=0&b=52492143 … pic.twitter.com/5p9TZi7wYa
0,"মাগী নিশি, এ সব কি বলছেন @nsinc987 ভায়া? কুল বড় কুল।"
1,"প্রমান না দিতে পারলে সে যে মাগী , তার প্রমান পাবো আর যদি বাপের বেটি হয়, প্রমান দিতে বল"
1,"দেখ বোন, ওকে বল প্রমান দিয়ে যেতে,, নতুবা আমার মুখ ভালো থাকবে না।। আমার নামে মিথ্যে ছড়াচ্ছে আর আমি মাগী বললেই দোষ??"
1,"হুম।। আম লুচ্চা,, বাট অই মাগী কে জনসম্মুখ এ বলে যেতে বলো।। নতুবা তার কপালে আরো শব্দ বোমা আছে"
1,"রত‌নে রতন চে‌নে, মাগী না হ‌লে লুচ্চা কেম‌নে চিন‌লো??"
0,আমি তোকেও গালি দেই নাই... আমি ওই মাগী নিশিকে খুজি
1,সে মাগী না কি?? তাইলে ফালায় কেন??
0,মাগী গুলো মজা পায় ত
1,হুম।। সব কয়টা মাগী পোগ্রামের নামে হোটেলে যায় নস্টামি করতে
0,"তানিশা আরফিন নিশি এই মাগি কই?? এই মাগী আসিফের পোসটে বলেছে আমি নাকি ডি এম কি করছি,, এখন দেখি প্রমান না দিয়ে ফালাইছে"
1,রত‌নে রতন চে‌ন আর লুচ্চা চে‌নে মাগী । যে কয়টারে আগে থে‌কে আছোলা বাঁশ দি‌য়ে রাখ‌ছিলাম সে কয়টাই এখন দে‌খি দালা‌লি চোদায়। জবর ব্যাপার তো ভাউ!! pic.twitter.com/7RCAWVfX9o
1,Come and see অক্ষর 's LIVE in #BIGOLIVE : লীলাবতী মাগী ... http://www. bigo.tv/sid/2160175125 _4262587175_1555035060?c=3&p=2&t=2&b=233239791 … pic.twitter.com/QfMgmCUmPB
1,"@mimichakraborty ভিকারীর বাচ্চা লোকের বাড়ি তে ভোট মাগার সময় মনে থাকে না এটা গরিব এর ভোট এতে নোংরা লেগে আছে , মাগী MP হবে আর ওই গরিব এর টাকাই ফূর্তি করবে । যতসব আবাল গুলো কে নিয়ে মানুষের ক্ষতি করছে । pic.twitter.com/gHYjvs3cBH"
0,সামনে দিয়ে নারীদের পক্ষে কথা বলা মানুষ গুলাই পিছনে রয়েছে এক অন্ধকার মাগী রূপের গন্ধ। #অনেকেই এটার অর্থ বুঝবেন না।
0,"প্রচুর প্রেম প্রস্তাব পেয়েছি কিন্তু ম্যাট্রিকুলেশন পাশের আগে আমি কোনদিন কোন ছেলের সঙ্গে কথাই বলি নাই, প্রেম তো দূরের কথা। প্রেমে প্রত্যাখ্যাত হয়ে সম্ভাবনাময় প্রেমিকেরা আমাকে খানকি, মাগী , বেশ্যা বলা শুরু করল।... https://www. facebook.com/10000122886508 0/posts/2350686761648930/ …"
0,"++++++কাপড় খুললেই বেশ্যা হয় না। ৫০ টাকায় কাপড় খুললে মেয়ে হয় বেশ্যা, আবেগে কাপড় খুললে হয় বান্ধবি, আর অভাবে কাপড় খুললে হয় মাগী - সখিনা,জরিনা খুললে বলে খ্যাত, আর angel samira, angel jerin (নাম চেঞ্জ করে আসলে)... https://www. facebook.com/10000350050076 2/posts/2028436570616340/ …"
