tag,
0,"যুক্তরাজ্যকে কোহিনূর ফেরত দিতে বলল পাকিস্তান ' ক্ষমা চাইতে হবে বাংলাদেশ,ভ... https:// youtu.be/wHTX6_J2BuI via @YouTube"
0,বাংলা কে পাকিস্তান বানাতে দেব না। https://www. facebook.com/549257624/post s/10157431223382625/ …
0,ইন্ডিয়া এবং পাকিস্তান থেকে পেমেন্ট আনুন ২ মিনিটে যে কোনো পরিমাণ https:// wa.me/8801881362000? text=AlaminExchanger …
0,পাকিস্তান বনাম দক্ষিণ আফ্রিকা: ১৯৯৯ বিশ্বকাপের নাটকীয় এক ম্যাচ http:// bit.ly/2UTBIfD https:// ift.tt/eA8V8J
0,"পৃথিবীতে মানুষ জন্মের পর থেকে ইন্ডিয়া পাকিস্তান ও বার্মাতে শুধু মানুষ বসবাস করে আসছিল। বাংলাদেশের এই বৃহৎ বদ্বীপ ছিল ঘন জঙ্গল। শুধু হাতি বাঘ হরিন বসবাস করতো। এজন্যে নিজস্ব জামাকাপড় ছিল না। ওদের দেখেই লুঙ্গি, পাঞ্জাবি ধুতি বানানো শিখেছে। যার থেকে কপি করেছ তারে ইতিহাস পড়তে কও"
1,"বাংলা মাসের, বাঙালির অসাম্প্রদায়িক উৎসবকে যারা সাম্প্রদায়িক তকমা দিয়ে এই উৎসব রুখে দিতে চায়, তারা বাঙলাকে পাকিস্তান এবং আফগানিস্তান বানাতে চায়, এদের ব্যাপারে এখনি সোচ্চার ও সতর্ক হওয়া দরকার।"
0,ভোটে জেতার জন্য ৪২ জওয়ানকে মেরে দিলো। ছিঃ কতটা নিচ আর পাষন্ড হলে এ কাজ করে। পাকিস্তান মিডিয়া থেকে প্রাপ্ত খবর। @MamataOfficial @abhishekaitc @kakoligdastidar @ColDiptangshu @yadavakhilesh @madanmitraoff @AITCofficial @ArvindKejriwal @hellorabiul @ANI @News18Bengali pic.twitter.com/Sk6rjDjXqa
0,"যদি মোদী আবার প্রধানমন্ত্রী হয়,তাহলে আমি ইমরান খানের চতুর্থ বউ হয়ে পাকিস্তান চলে যাব:মেহেবুবা মুফতি"
0,বালাকোটের পর ৫০০ বার সংঘর্ষবিরতি লঙ্ঘন করেছে পাকিস্তান https:// goo.gl/fb/HMRL9j #জতয #balakotairstrike #ceasefire
0,ওহ! ১৯৬৭ সাল মানে তো পাকিস্তান আমলে শুরু হয়!
