tag,tweets
1,তোরার মাইয়ে ** শালা শুয়ার সব জায়গাই তোদের রাজনৈতিক বাম হাত কেন দিতে হয় ।
1,পর্ন করা ওর পুটকির মধ্যে দেবো। এই শুয়ার কা বাচ্চা টা মেয়েদের পর্ন বানাবে বলে!!! এরাই নুসরাতের মতো মেয়েদের ধর্ষন করে আগুন দেয়। হুজুর সেজে থাকে খুব গোপনে আবার মেয়েদের dm এ জ্বালায়
1,শুয়ারের বাচ্চা আর বাচ্চা শুয়ার দুটাই সমান কাঁদছে বাংলাদেশ হাঁসছে শুয়ার ......... pic.twitter.com/8SOh9c4QWh
1,আজ তনু..কাল নুসরাত পরশু আমার আপনার বোন এভাবে হাজার হাজার বোনের মৃত্যু হচ্ছে কিছু লম্পটদের কারনে.... ধর্ষনের সর্বোচ্চ শাস্তি ফাঁসি এটা আইন করা হোক.. এই সে শুয়ার যে নুসরাত নামের এক মাদ্রসার ছাত্রী কে ধর্ষন করেছে....... https://www. facebook.com/presidentofywc /posts/276363433287512 …
1,ভন্ড ইসলামিক মাদ্রাসার হুজুর গুলা এহন কথা চোদাও না কেন খানকির বাচ্চারা !! মাদ্রাসার মধ্যে পোলা গোআ মারতো এহন মাইয়াগো রেপ !! আগুন দিয়া পুইড়া দিবো এটা কে মধ্য যুগ না আদিম যুগ শুয়ার এর দল................
1,ব্যাক্তি টার্গেট করে তার নামে ফেইক আইডি বানিয়ে ধর্মের বিরুদ্ধে কমেন্ট বা ষ্ট্যাটাসের স্কিন শট বানানোর নতুন ট্রেন্ড শুরু করেছে ধর্ম ব্যবসায়ী এক দল শুয়ার শাবক। এই বিষয়ে হুজুগে মামলা না নিয়ে আইন শৃংখলা বাহিনীর আন্তরিকতায় কেবল নিরাপরাধ ব্যাক্তি মুক্তি পেতে পারে।
1,মানুষ যে কত্ত বড় বহুরুপী ভোক্সচোদ্ এসব ঘটনা তার দৃষ্টান্ত!! দুই তিন লাইনের সূরা বা স্তোব জাের করে বা সদিচ্ছায় পাঠ করলে মানুষ থেকে শুয়ার বা গরু হওয়া যায়?? https://www. facebook.com/10000027483606 4/posts/2533156593370144/ …
1,"বুনো শুয়ার কিন্তু পিটাইয়া মারার নিয়ম আছে গ্রামে এখনো। দেরি না করিয়া উহাদের লেজে আগুন দিয়া দাও অথবা লেজে পাড়া দিয়ে পুটকিতে লাথি মারো। মিথ্যাবাদীদের জিভ টেনে ছিড়ে ফেলো তবে আর মিথ্যা বলতে পারবে না, এরা সৎ পথে আসবে না আর, ক্ষমা করো। https:// twitter.com/bnpnewsbd/stat us/1112985633792909312 …"
1,"বুনো শুয়ার কিন্তু পিটাইয়া মারার নিয়ম আছে গ্রামে এখনো। দেরি না করিয়া উহাদের লেজে আগুন দিয়া দাও অথবা লেজে পাড়া দিয়ে পুটকিতে লাথি মারো। রাজনৈতিক পতিতাদের সাথে আবার কিসের আপোষ? মিথ্যাবাদীদের জিভ টেনে ছিড়ে ফেলো তবে আর মিথ্যা বলতে পারবে না, এরা সৎ পথে আসবে না আর, ক্ষমা করো। https:// twitter.com/DailyJugantor/ status/1113011272046596096 …"
1,"আমাদের বিবেক / মানুষত্ব এতই নিচে নেমে গেছে যে, এ যেন দিনদিন ডাল ভাত হতে চলেছে ! আরে সবাই ওই দুই চারটা শুয়ার গুলার দিকে পেশাব করলেই তো বন্যায় ভেসে যায় ভয় এইসব জঞ্জাল !! https://www. jugantor.com/country-news/1 62009/%E0%A6%AD%E0%A7%8B%E0%A6%9F-%E0%A6%A8%E0%A6%BE-%E0%A6%A6%E0%A7%87%E0%A7%9F%E0%A6%BE%E0%A6%B0-%E0%A6%9C%E0%A7%87%E0%A6%B0%E0%A7%87-%E0%A6%B8%E0%A7%81%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%9A%E0%A6%B0%E0%A7%87-%E0%A6%86%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A6%93-%E0%A6%97%E0%A7%83%E0%A6%B9%E0%A6%AC%E0%A6%A7%E0%A7%82%E0%A6%95%E0%A7%87-%E0%A6%97%E0%A6%A3%E0%A6%A7%E0%A6%B0%E0%A7%8D%E0%A6%B7%E0%A6%A3 …"
1,হারামজাদা শুয়ার পিটাইয়া রাজনিতি ছারাইতে হয়!
0,"বাংলাদেশের কোন খাতে লাভ হয়, আমাদের একটু দেখান? যে বালে লোকসান ওঁই বাল চালানোর দরকার নাই। বিমানে লোকশান, ট্রেন এ লোকশান। লাভ টা কোথায়?সব গূলা ঢাকায় রিক্সা চালা। আর না হলে গ্রামে গিয়ে ভ্যান চালা। শুয়ার বাচ্চারা সব কিছু খেয়ে শেষ করে দেবে। http://www. kalerkantho.com/online/nationa l/2019/03/10/745805 …"
1,কোন বান্দির পোলা আইডি হ্যাক করতে চাইছোস সামনে আয় । কয় স্তর বিশিস্ট নিরাপত্তা দেয়া আছে তোর এই বাপের আইডিতে জানোস শুয়ার !! — feeling furious
1,"এক সময়ের জানু,সনু,মনু ডাকা মেয়েটি ! একসময় এসে মাগী,ভুস্কি-মাগী, টাকলা শুয়ার এর না জায়েজ অলাদে পরিণত হয় ! আহা !! কি অদ্ভুত !"
0,"কোনো মেয়ে যদি কোনো ছেলেকে সত্যি ভালোবাসে, তবে সে শুতেও রাজি হবে।। আর কোনো ছেলে যদি কোনো মেয়েকে সত্যিই ভালোবাসে, তবে সে কোনো দিনই শুয়ার কথা বলবে না।। হ্যাপি ওমেনস ডে।।"
1,ভারতের এই শুয়ারদের শুয়ার বলবোনাতো কি বলবো।এরা কোনদিন মুসলিমদের ভাই হতে পারেনা। ওরা মোশরেক। আর মোশরেক কখোনা মুসলিমেদের ভাই বা বন্ধু হতে পারে না। https://www. facebook.com/bd.bk360/video s/546091759230942/ … https://www. facebook.com/najmul21122/po sts/2234606573524945 …
0,"How is the Josh? আজ আমি নিজেকে গর্ববোধ করছি যে আমি ভারতীয়,ভারতীয় সেনা সূর্য উদয় হওয়ার আগেই পাকিস্তানের শুয়ার দের ৭২ কাছে পাঠিয়ে দিয়েছে (ভারত মাতার জয় ) pic.twitter.com/JFOXxqBLJa"
0,শুয়ার ফাকিস্তান https:// ebela.in/national/india n-army-destroys-pak-drone-in-gujarat-dgtl-1.958546?utm_source=facebook&utm_medium=social&utm_campaign=fb_mab …
1,যা শুয়ার তোকে আমি খিস্তাচ্ছি ওপেন। কী বাল ছিঁড়বি ?
1,"ভিখারী পাকিস্তান""আব ভিখ মাঙ্গোগে তো ভি ভিখ ন্যায় মিলেগ্যা"" না মিলেগ্যা সবজি না মিলেগ্যা রুটি,,, শুয়ার কা অলাদ ইমরান খান শুনলে,,,"
